tanggal,suhu,curah_hujan,kelembaban,eto,kc,etc,rain_eff,water_need,irrigation_need
2024-02-01,25.4,1.3,89,3.527388666421644,1.05,3.703758099742726,1.3,2.403758099742726,4.00626349957121
2024-02-02,27.2,24.3,82,3.973776437534132,1.05,4.1724652594108385,17.009999999999998,0.0,0.0
2024-02-03,25.6,10.5,90,4.665363274518094,1.05,4.898631438243998,7.35,0.0,0.0
2024-02-04,26.2,1.7,86,3.4728831457650915,1.05,3.6465273030533463,1.7,1.9465273030533463,3.2442121717555774
2024-02-05,26.5,4.2,84,2.8839887539442763,1.05,3.0281881916414903,4.2,0.0,0.0
2024-02-06,24.6,1.5,91,3.6171861247983874,1.05,3.798045431038307,1.5,2.298045431038307,3.8300757183971785
2024-02-07,25.0,3.2,90,2.460779900844876,1.05,2.58381889588712,3.2,0.0,0.0
2024-02-08,27.4,25.0,78,3.8105602258114444,1.05,4.001088237102016,17.5,0.0,0.0
2024-02-09,28.3,12.5,77,4.861256078988932,1.05,5.1043188829383785,8.75,0.0,0.0
2024-02-10,25.4,0.0,90,4.2016482996186655,1.05,4.4117307145995985,0.0,4.4117307145995985,7.352884524332665
2024-02-11,25.7,3.1,88,3.195951873004348,1.05,3.3557494666545655,3.1,0.25574946665456544,0.42624911109094243
2024-02-12,27.1,38.7,83,4.242485095160092,1.05,4.454609349918097,27.09,0.0,0.0
2024-02-13,28.3,24.4,80,4.336189222925591,1.05,4.552998684071871,17.08,0.0,0.0
2024-02-14,27.3,10.1,86,4.326028592436194,1.05,4.542330022058004,7.069999999999999,0.0,0.0
2024-02-15,26.8,3.0,89,2.6935562059780085,1.05,2.828234016276909,3.0,0.0,0.0
2024-02-16,26.3,9.0,91,3.204470872021844,1.05,3.3646944156229366,7.2,0.0,0.0
2024-02-17,25.8,3.6,91,2.7664902219693643,1.05,2.9048147330678327,3.6,0.0,0.0
2024-02-18,25.9,14.4,89,3.4568685517686446,1.05,3.629711979357077,10.08,0.0,0.0
2024-02-19,27.1,3.7,86,3.9696510965628553,1.05,4.168133651390998,3.7,0.46813365139099794,0.7802227523183299
2024-02-20,27.3,33.85,84,3.888359343001516,1.05,4.082777310151592,23.695,0.0,0.0
